capital,company_name,garden,income_growth,is_sold,market_value,net_asset,net_capital,net_profit,net_profit_growth,net_profit_t,net_profit_t_1,net_profit_t_2,net_profit_t_3,status,stock_code,stock_share,target_income,target_industry,total_debt
,本次交易拟购买的上汽集团与工业有限的资产合称,,,1,,2095525.9537,,578691,,578691,607776,,,,,,,房地产业,
,和光商务发行股份购买三湘股份100%股,,,1,,35664.14,,22398.29,,22398.29,41982.07,43360.48,,,,,,房地产业,
,北京北医医药100%的股权,,,1,,11457.46,,1831.91,,1831.91,2080.08,,,,,,,医药、生物,
,宋都集团100%股权,,,1,,193125.543626,,30293.499638,,30293.499638,105623,,,,,,,房地产业,
,"融冠矿业、锡林矿业、巨源矿业、
富生矿业、双源有色五家公司100％的股权",,,1,,49500.294795,,,,,,,,,,,,采掘业,
,海润光伏的股东全部权益,,,1,,212597.71,,38205.71,,38205.71,49855.12,50965.79,52858.38,,,,,机械、设备、仪表,
,"丽江玉龙雪山印象旅游文化产业
公司 51%股权",,,1,,9101.38,,6026.99,,6026.99,6205.68,6424.08,6608.11,,,,,社会服务业,
,西南商厦持有的新西南100%的股权,,,1,,7626.59,,1777.51,,1777.51,1550,1958,2285,,,,,社会服务业,
,恒力泰100%股权,,,1,,42578.06,,11945.792767,,8727.360788,7644.368671,,,,,,,机械、设备、仪表,
,"百视通技术100%股权、文广科技100%股权、广电制作100%股权、
信投股份8,000万股（21.33%）的
股份",,,1,,121326,,,,259944,269560,,,,,,,传播与文化产业,
,"大雁塔管理公司100%股权；大明宫管理公司100%股
权；城墙公司100%股权；唐艺坊公司100%股权；酒店
管理公司100%股权；曲江旅行社100%股权；百仕通旅
行社40%股权；阳光旅行社43%股权；友联旅行社
56.01%股权；大唐芙蓉园、曲江池及唐城墙公园景区
运营管理业务；御宴宫、芳林苑、唐集市、唐华宾馆、
唐华乐府、大唐博相府、海洋公园等资产及业务；“大
唐芙蓉园”、“大唐圣境”、“龙龙吉祥物”等注册商标，
具体范围与明细以交易基准日审计报告和评估报告为
准",,,1,,58977.61,,4468.02,,,5597.36,6336.5,7485.35,,,,,社会服务业,
,天鹅泵业 100%的股权,,,1,,14718.28,,2232.6,,2467.48,2424.31,2851.64,3119.7,,,,,机械、设备、仪表,
,广报经营 100%股权、大洋传媒 100%股权及新媒体公司 100%股权,,,1,,153831.06,,28998.77,,27510.86,27535.76,29810.59,,,,,,传播与文化产业,
